,Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
0,2020-01-02,4.27663,4.27663,4.27663,4.27663,1720.16
5,2020-01-10,4.3120199999999995,4.38269,4.3120199999999995,4.38269,3381.04
6,2020-01-13,4.38269,4.418080000000001,4.365,4.365,9551.36
7,2020-01-14,4.418080000000001,4.418080000000001,4.418080000000001,4.418080000000001,2102.88
10,2020-01-17,4.418080000000001,4.55058,4.418080000000001,4.55058,420.16
12,2020-01-21,4.50635,4.55058,4.34731,4.34731,7978.88
14,2020-01-23,4.46221,4.46221,4.418080000000001,4.418080000000001,870.48
16,2020-01-27,4.46221,4.50635,4.34731,4.46221,4145.44
20,2020-02-03,4.418080000000001,4.50635,4.418080000000001,4.418080000000001,1576.64
22,2020-02-05,4.46221,4.46221,4.418080000000001,4.418080000000001,736.32
24,2020-02-07,4.418080000000001,4.418080000000001,4.418080000000001,4.418080000000001,3394.56
26,2020-02-13,4.418080000000001,4.418080000000001,4.38269,4.418080000000001,260.0
27,2020-02-14,4.418080000000001,4.418080000000001,4.418080000000001,4.418080000000001,512.72
28,2020-02-17,4.418080000000001,4.418080000000001,4.418080000000001,4.418080000000001,428.48
29,2020-02-18,4.34731,4.418080000000001,4.34731,4.418080000000001,864.24
31,2020-02-20,4.34731,4.34731,4.34731,4.34731,294.32
33,2020-02-25,4.29433,4.40038,4.29433,4.40038,3963.44
34,2020-02-26,4.34731,4.40038,4.29433,4.329619999999999,2950.48
35,2020-02-27,4.38269,4.46221,4.3120199999999995,4.3120199999999995,4076.8
37,2020-03-02,4.50635,5.434130000000001,4.27663,5.34577,50402.56
38,2020-03-03,5.30163,5.30163,4.77144,5.0365400000000005,33185.36
39,2020-03-04,5.08067,5.566730000000001,5.08067,5.434130000000001,56301.44
40,2020-03-05,5.47837,6.00856,5.34577,5.96433,71381.44
41,2020-03-06,5.96433,5.96433,5.610869999999999,5.74346,28317.12
42,2020-03-09,5.655,5.655,4.68317,4.68317,27054.56
43,2020-03-10,4.77144,5.21327,4.77144,4.77144,12459.2
44,2020-03-11,4.90394,6.62702,4.90394,6.62702,242486.4
45,2020-03-12,6.80375,8.83577,4.90394,5.434130000000001,677438.32
46,2020-03-13,5.30163,6.3177900000000005,4.94827,5.1249,198522.48
47,2020-03-16,5.566730000000001,6.09692,5.16904,5.39,265182.32
48,2020-03-17,5.7876,5.7876,5.21327,5.21327,99168.16
49,2020-03-18,5.16904,5.47837,4.81567,5.21327,97036.16
