,Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
0,2020-01-02,13.4647,13.4647,13.4647,13.4647,5.2463054185
1,2020-01-10,13.6506,13.6506,13.6506,13.6506,151.0935960528
2,2020-01-13,14.6722,14.6722,13.9288,13.9288,210.9014778237
3,2020-01-14,14.6722,14.6722,14.6722,14.6722,12.591133004400001
4,2020-01-17,13.8364,13.8364,13.8364,13.8364,45.1182265991
5,2020-01-21,13.8364,13.8364,13.8364,13.8364,108.0738916211
6,2020-01-23,13.9288,13.9288,13.744000000000002,13.744000000000002,50.364532017600006
7,2020-01-27,13.744000000000002,13.744000000000002,13.744000000000002,13.744000000000002,10.492610837
9,2020-02-03,14.4864,14.4864,14.4864,14.4864,40.9211822643
10,2020-02-05,13.744000000000002,13.744000000000002,13.744000000000002,13.744000000000002,173.1280788105
11,2020-02-07,14.3005,14.3005,14.3005,14.3005,839.40886696
12,2020-02-13,14.3939,14.3939,14.3939,14.3939,68.2019704405
13,2020-02-14,13.9288,13.9288,13.9288,13.9288,317.92610836110003
14,2020-02-17,13.9288,13.9288,13.9288,13.9288,114.36945812329999
15,2020-02-18,13.9288,13.9288,13.9288,13.9288,27.280788176199998
16,2020-02-20,13.744000000000002,13.744000000000002,13.744000000000002,13.744000000000002,96.53201970040001
18,2020-02-25,13.1864,13.1864,13.1864,13.1864,74.49753694270001
19,2020-02-26,13.4647,13.4647,13.4647,13.4647,194.1133004845
20,2020-02-27,13.4647,13.4647,13.4647,13.4647,71.3497536916
21,2020-03-02,12.9081,12.9081,12.9081,12.9081,37.7733990132
22,2020-03-03,12.9081,12.9081,12.9081,12.9081,128.0098522114
23,2020-03-04,12.9081,13.5581,12.9081,13.5581,161.5862068898
24,2020-03-05,13.9288,13.9288,13.9288,13.9288,102.8275862026
25,2020-03-06,13.8364,13.8364,13.8364,13.8364,17.8374384229
26,2020-03-09,13.0006,13.0006,13.0006,13.0006,151.0935960528
27,2020-03-10,13.3723,13.3723,13.3723,13.3723,112.2709359559
28,2020-03-11,13.0006,13.0006,13.0006,13.0006,412.3596058941
29,2020-03-12,13.0006,13.0006,12.9081,12.9081,486.8571428368
30,2020-03-13,12.0723,12.9081,12.0723,12.9081,70.3004926079
31,2020-03-16,12.5364,12.5364,12.5364,12.5364,58.7586206872
32,2020-03-17,12.0723,12.6289,12.0723,12.6289,206.70443348889998
33,2020-03-18,12.7223,12.7223,12.6289,12.6289,422.8522167311
34,2020-03-19,12.0723,12.6289,12.0723,12.6289,177.32512314529998
35,2020-03-20,12.7223,12.7223,12.7223,12.7223,10.492610837
36,2020-03-23,13.0006,13.0006,12.7223,12.7223,80.7931034449
37,2020-03-24,12.7223,12.7223,12.7223,12.7223,161.5862068898
38,2020-03-25,13.9288,13.9288,13.9288,13.9288,108.0738916211
39,2020-03-26,13.4647,13.4647,13.4647,13.4647,431.2463054007
40,2020-03-30,13.1864,13.1864,13.093,13.093,37.7733990132
41,2020-03-31,13.0006,13.0006,13.0006,13.0006,39.8719211806
42,2020-04-01,13.0006,13.0006,13.0006,13.0006,162.6354679735
43,2020-04-03,13.0006,13.0006,13.0006,13.0006,3.1477832511000003
44,2020-04-07,13.093,13.093,13.0006,13.0006,82.89162561229999
45,2020-04-08,13.0006,13.0006,13.0006,13.0006,253.9211822554
46,2020-04-09,13.0006,13.8364,13.0006,13.8364,98.6305418678
47,2020-04-14,13.744000000000002,13.744000000000002,13.6506,13.6506,405.0147783082
48,2020-04-15,13.4647,13.4647,13.4647,13.4647,108.0738916211
49,2020-04-20,12.2582,12.2582,12.2582,12.2582,11.541871920699998
50,2020-04-21,13.8364,13.8364,13.8364,13.8364,237.13300491619998
51,2020-04-22,13.0006,13.0006,13.0006,13.0006,3.1477832511000003
